req_id,category,requirement_text,test_module,test_function,validation_method,status,priority,phase,requirement_file
REQ-GCG-001,PROTOCOL,aegis-infra/v1 Plugin Contract,src/domain/__tests__/types.test.ts,parseSubcommand,Unit Test,COMPLETE,CRITICAL,Phase 1,.rtmx/requirements/PROTOCOL/REQ-GCG-001.md
REQ-GCG-001,PROTOCOL,aegis-infra/v1 Plugin Contract,src/protocol/__tests__/emitter.test.ts,emitEvent,Unit Test,COMPLETE,CRITICAL,Phase 1,.rtmx/requirements/PROTOCOL/REQ-GCG-001.md
REQ-GCG-001,PROTOCOL,aegis-infra/v1 Plugin Contract,tests/features/protocol/contract.feature,contract_scenarios,E2E Test,NOT_STARTED,CRITICAL,Phase 1,.rtmx/requirements/PROTOCOL/REQ-GCG-001.md
REQ-GCG-002,INFRA,GCP Assured Workloads Boundary Provisioning,src/infrastructure/__tests__/stack.test.ts,defineResources,Unit Test,COMPLETE,CRITICAL,Phase 2,.rtmx/requirements/INFRA/REQ-GCG-002.md
REQ-GCG-002,INFRA,GCP Assured Workloads Boundary Provisioning,tests/integration/provisioning.test.ts,provisionBoundary,Integration Test,NOT_STARTED,CRITICAL,Phase 2,.rtmx/requirements/INFRA/REQ-GCG-002.md
REQ-GCG-002,INFRA,GCP Assured Workloads Boundary Provisioning,tests/features/provisioning/boundary.feature,provisioning_scenarios,E2E Test,NOT_STARTED,CRITICAL,Phase 2,.rtmx/requirements/INFRA/REQ-GCG-002.md
REQ-GCG-003,STATUS,Boundary Health Status Checks,src/infrastructure/__tests__/health.test.ts,aggregateChecks,Unit Test,COMPLETE,HIGH,Phase 3,.rtmx/requirements/STATUS/REQ-GCG-003.md
REQ-GCG-003,STATUS,Boundary Health Status Checks,tests/integration/status.test.ts,statusChecks,Integration Test,NOT_STARTED,HIGH,Phase 3,.rtmx/requirements/STATUS/REQ-GCG-003.md
REQ-GCG-003,STATUS,Boundary Health Status Checks,tests/features/status/health.feature,health_scenarios,E2E Test,NOT_STARTED,HIGH,Phase 3,.rtmx/requirements/STATUS/REQ-GCG-003.md
REQ-GCG-004,INFRA,Local Pulumi State Backend,src/infrastructure/__tests__/automation.test.ts,resolveStateDir,Unit Test,COMPLETE,HIGH,Phase 1,.rtmx/requirements/INFRA/REQ-GCG-004.md
REQ-GCG-004,INFRA,Local Pulumi State Backend,tests/features/provisioning/state.feature,state_scenarios,E2E Test,NOT_STARTED,HIGH,Phase 1,.rtmx/requirements/INFRA/REQ-GCG-004.md
REQ-GCG-005,INFRA,Initialization State Machine,src/infrastructure/__tests__/init-state-machine.test.ts,runPreflight,Unit Test,COMPLETE,CRITICAL,Phase 2,.rtmx/requirements/INFRA/REQ-GCG-005.md
REQ-GCG-005,INFRA,Initialization State Machine,src/infrastructure/__tests__/init-state-machine.test.ts,enableApis,Unit Test,COMPLETE,CRITICAL,Phase 2,.rtmx/requirements/INFRA/REQ-GCG-005.md
REQ-GCG-005,INFRA,Initialization State Machine,src/infrastructure/__tests__/init-state-machine.test.ts,pollApiEnabled,Unit Test,COMPLETE,CRITICAL,Phase 2,.rtmx/requirements/INFRA/REQ-GCG-005.md
REQ-GCG-005,INFRA,Initialization State Machine,src/infrastructure/__tests__/init-state-machine.test.ts,runStateMachine,Unit Test,COMPLETE,CRITICAL,Phase 2,.rtmx/requirements/INFRA/REQ-GCG-005.md
REQ-GCG-005,INFRA,Initialization State Machine,tests/features/provisioning/initialization.feature,initialization_scenarios,E2E Test,NOT_STARTED,CRITICAL,Phase 2,.rtmx/requirements/INFRA/REQ-GCG-005.md
REQ-GCG-006,INFRA,Unified State Machine for All Stateful Subcommands,src/infrastructure/__tests__/unified-state-machine.test.ts,checkApiReadiness,Unit Test,COMPLETE,CRITICAL,Phase 2,.rtmx/requirements/INFRA/REQ-GCG-006.md
REQ-GCG-006,INFRA,Unified State Machine for All Stateful Subcommands,src/infrastructure/__tests__/unified-state-machine.test.ts,requireConfirmDestroy,Unit Test,COMPLETE,CRITICAL,Phase 2,.rtmx/requirements/INFRA/REQ-GCG-006.md
REQ-GCG-006,INFRA,Unified State Machine for All Stateful Subcommands,tests/features/provisioning/unified-lifecycle.feature,unified_lifecycle_scenarios,E2E Test,NOT_STARTED,CRITICAL,Phase 2,.rtmx/requirements/INFRA/REQ-GCG-006.md
REQ-GCG-007,STATUS,VPC-SC Perimeter Validation and Vertex AI Model Access,src/infrastructure/__tests__/health.test.ts,checkVpcScPerimeter,Unit Test,COMPLETE,HIGH,Phase 3,.rtmx/requirements/STATUS/REQ-GCG-007.md
REQ-GCG-007,STATUS,VPC-SC Perimeter Validation and Vertex AI Model Access,src/infrastructure/__tests__/health.test.ts,checkVertexAiAccessible,Unit Test,PARTIAL,HIGH,Phase 3,.rtmx/requirements/STATUS/REQ-GCG-007.md
